Date,Close
2017-01-03,31.26
2017-01-04,31.54
2017-01-05,31.84
2017-01-06,31.72
2017-01-09,31.71
2017-01-10,31.68
2017-01-11,31.1
2017-01-12,30.88
2017-01-13,30.81
2017-01-17,30.37
2017-01-18,30.34
2017-01-19,30.03
2017-01-20,30.1
2017-01-23,29.8
2017-01-24,29.51
2017-01-25,29.64
2017-01-26,29.63
2017-01-27,29.77
2017-01-30,29.66
2017-01-31,30.06
2017-02-01,30
2017-02-02,30.06
2017-02-03,30.4
2017-02-06,30.53
2017-02-07,30.39
2017-02-08,30.45
2017-02-09,30.67
2017-02-10,30.65
2017-02-13,30.89
2017-02-14,31.03
2017-02-15,31.75
2017-02-16,31.85
2017-02-17,31.85
2017-02-21,31.85
2017-02-22,31.82
2017-02-23,32.27
2017-02-24,32.46
2017-02-27,32.47
2017-02-28,32.32
2017-03-01,32.61
2017-03-02,32.69
2017-03-03,32.7
2017-03-06,32.54
2017-03-07,32.2
2017-03-08,32.12
2017-03-09,32.26
2017-03-10,32.31
2017-03-13,32.31
2017-03-14,32.42
2017-03-15,32.81
2017-03-16,32.62
2017-03-17,32.51
2017-03-20,32.57
2017-03-21,32.45
2017-03-22,32.65
2017-03-23,32.48
2017-03-24,32.21
2017-03-27,32.38
2017-03-28,32.36
2017-03-29,32.52
2017-03-30,32.54
2017-03-31,32.41
2017-04-03,32.44
2017-04-04,32.53
2017-04-05,32.39
2017-04-06,32.31
2017-04-07,32.3
2017-04-10,32.25
2017-04-11,32.14
2017-04-12,32.13
2017-04-13,32.1
2017-04-17,32.21
2017-04-18,32.06
2017-04-19,31.84
2017-04-20,31.96
2017-04-21,31.87
2017-04-24,31.96
2017-04-25,31.98
2017-04-26,32.07
2017-04-27,32.08
2017-04-28,32.13
2017-05-01,32
2017-05-02,31.84
2017-05-03,31.71
2017-05-04,31.69
2017-05-05,31.72
2017-05-08,31.69
2017-05-09,31.62
2017-05-10,31.29
2017-05-11,31.3
2017-05-12,31.27
2017-05-15,31.38
2017-05-16,30.88
2017-05-17,30.53
2017-05-18,30.52
2017-05-19,30.75
2017-05-22,30.43
2017-05-23,30.45
2017-05-24,30.36
2017-05-25,30.47
2017-05-26,30.45
2017-05-30,30.44
2017-05-31,30.93
2017-06-01,30.99
2017-06-02,30.83
2017-06-05,30.65
2017-06-06,30.38
2017-06-07,30.31
2017-06-08,30.08
2017-06-09,31.04
2017-06-12,30.98
2017-06-13,30.86
2017-06-14,30.97
2017-06-15,31.08
2017-06-16,31.23
2017-06-19,31.47
2017-06-20,31.79
2017-06-21,32.1
2017-06-22,32.27
2017-06-23,32.37
2017-06-26,32.25
2017-06-27,31.99
2017-06-28,31.97
2017-06-29,31.86
2017-06-30,31.82
2017-07-03,32.04
2017-07-05,31.87
2017-07-06,31.47
2017-07-07,31.59
2017-07-10,31.65
2017-07-11,31.42
2017-07-12,31.47
2017-07-13,31.53
2017-07-14,31.67
2017-07-17,31.5
2017-07-18,31.6
2017-07-19,31.85
2017-07-20,31.77
2017-07-21,31.72
2017-07-24,31.57
2017-07-25,31.36
2017-07-26,31.16
2017-07-27,31.26
2017-07-28,31.4
2017-07-31,31.41
2017-08-01,31.34
2017-08-02,31.19
2017-08-03,31.67
2017-08-04,31.87
2017-08-07,31.56
2017-08-08,31.53
2017-08-09,31.69
2017-08-10,31.66
2017-08-11,31.5
2017-08-14,31.56
2017-08-15,31.62
2017-08-16,31.6
2017-08-17,31.21
2017-08-18,30.95
2017-08-21,31.03
2017-08-22,31.4
2017-08-23,31.49
2017-08-24,31.48
2017-08-25,31.63
2017-08-28,31.71
2017-08-29,31.74
2017-08-30,31.69
2017-08-31,32.13
2017-09-01,32.17
2017-09-05,32.02
2017-09-06,32.2
2017-09-07,32.2
2017-09-08,32.3
2017-09-11,32.51
2017-09-12,33.51
2017-09-13,33.21
2017-09-14,33.85
2017-09-15,33.5
2017-09-18,33.68
2017-09-19,33.58
2017-09-20,34.09
2017-09-21,34.08
2017-09-22,34.07
2017-09-25,33.64
2017-09-26,33.44
2017-09-27,33.58
2017-09-28,33.73
2017-09-29,33.82
2017-10-02,34.17
2017-10-03,34.24
2017-10-04,34.07
2017-10-05,34.1
2017-10-06,34.15
2017-10-09,34.24
2017-10-10,34.48
2017-10-11,34.53
2017-10-12,34.44
2017-10-13,34.43
2017-10-16,34.09
2017-10-17,34.29
2017-10-18,33.94
2017-10-19,34.33
2017-10-20,34.5
2017-10-23,34.48
2017-10-24,34.36
2017-10-25,34.26
2017-10-26,33.86
2017-10-27,33.73
2017-10-30,33.3
2017-10-31,33.21
2017-11-01,33.4
2017-11-02,33.59
2017-11-03,33.68
2017-11-06,33.46
2017-11-07,33.5
2017-11-08,33.48
2017-11-09,33.35
2017-11-10,33.33
2017-11-13,33.44
2017-11-14,33.52
2017-11-15,33.5
2017-11-16,33.69
2017-11-17,33.51
2017-11-20,33.49
2017-11-21,33.67
2017-11-22,33.56
2017-11-24,33.62
2017-11-27,33.62
2017-11-28,33.96
2017-11-29,34.3
2017-11-30,34.35
2017-12-01,34.44
2017-12-04,34.16
2017-12-05,33.75
2017-12-06,33.69
2017-12-07,33.63
2017-12-08,33.86
2017-12-11,34.3
2017-12-12,34.65
2017-12-13,34.71
2017-12-14,34.54
2017-12-15,35.24
2017-12-18,35.17
2017-12-19,34.99
2017-12-20,34.54
2017-12-21,34.33
2017-12-22,34.24
2017-12-26,34.3
2017-12-27,34.42
2017-12-28,34.45
2017-12-29,34.31
2018-01-02,34.52
2018-01-03,34.78
2018-01-04,34.85
2018-01-05,34.92
2018-01-08,34.53
2018-01-09,34.49
2018-01-10,34.55
2018-01-11,34.63
2018-01-12,34.62
2018-01-16,34.67
2018-01-17,35.22
2018-01-18,35.04
2018-01-19,34.99
2018-01-22,34.99
2018-01-23,34.88
2018-01-24,34.99
2018-01-25,35.27
2018-01-26,36.96
2018-01-29,36.96
2018-01-30,35.81
2018-01-31,35.09
2018-02-01,34.89
2018-02-02,34.68
2018-02-05,32.84
2018-02-06,33.42
2018-02-07,33.14
2018-02-08,31.86
2018-02-09,32.36
2018-02-12,32.83
2018-02-13,33.1
2018-02-14,33.34
2018-02-15,33.83
2018-02-16,34.35
2018-02-20,34.11
2018-02-21,33.88
2018-02-22,33.86
2018-02-23,34.35
2018-02-26,35.14
2018-02-27,34.86
2018-02-28,34.4
2018-03-01,33.75
2018-03-02,34.06
2018-03-05,34.22
2018-03-06,33.99
2018-03-07,34.04
2018-03-08,34.58
2018-03-09,34.83
2018-03-12,34.68
2018-03-13,34.81
2018-03-14,34.44
2018-03-15,34.65
2018-03-16,34.84
2018-03-19,34.42
2018-03-20,34.42
2018-03-21,34.36
2018-03-22,33.73
2018-03-23,32.67
2018-03-26,33.19
2018-03-27,33.17
2018-03-28,33.44
2018-03-29,33.62
2018-04-02,33.2
2018-04-03,33.8
2018-04-04,34.23
2018-04-05,33.85
2018-04-06,33.32
2018-04-09,33.59
2018-04-10,34.06
2018-04-11,33.91
2018-04-12,34.41
2018-04-13,34.41
2018-04-16,34.61
2018-04-17,34.42
2018-04-18,34.57
2018-04-19,34.61
2018-04-20,34.7
2018-04-23,34.86
2018-04-24,35.11
2018-04-25,34.75
2018-04-26,34.91
2018-04-27,35.05
2018-04-30,34.68
2018-05-01,33.54
2018-05-02,33.05
2018-05-03,32.93
2018-05-04,33.01
2018-05-07,33.09
2018-05-08,33.14
2018-05-09,33.32
2018-05-10,33.19
2018-05-11,33.63
2018-05-14,33.97
2018-05-15,33.81
2018-05-16,33.8
2018-05-17,33.83
2018-05-18,33.76
2018-05-21,33.91
2018-05-22,33.84
2018-05-23,34.08
2018-05-24,34
2018-05-25,33.8
2018-05-29,33.82
2018-05-30,34.15
2018-05-31,34.04
2018-06-01,34.34
2018-06-04,34.53
2018-06-05,34.52
2018-06-06,34.46
2018-06-07,34.57
2018-06-08,34.74
2018-06-11,34.39
2018-06-12,34.39
2018-06-13,34.31
2018-06-14,34.26
2018-06-15,34.45
2018-06-18,34.26
2018-06-19,34.31
2018-06-20,34.54
2018-06-21,34.39
2018-06-22,34.59
2018-06-25,34.46
2018-06-26,34.46
2018-06-27,34.3
2018-06-28,34.45
2018-06-29,34.37
2018-07-02,34.42
2018-07-03,34.44
2018-07-05,34.93
2018-07-06,35.16
2018-07-09,35.2
2018-07-10,35.46
2018-07-11,35.25
2018-07-12,35.54
2018-07-13,35.55
2018-07-16,35.41
2018-07-17,35.67
2018-07-18,35.68
2018-07-19,35.39
2018-07-20,35.36
2018-07-23,35.25
2018-07-24,35.71
2018-07-25,35.99
2018-07-26,36.15
2018-07-27,36.39
2018-07-30,36.56
2018-07-31,37.83
2018-08-01,38.15
2018-08-02,37.56
2018-08-03,38.4
2018-08-06,38.88
2018-08-07,38.69
2018-08-08,39.23
2018-08-09,38.84
2018-08-10,38.77
2018-08-13,38.66
2018-08-14,38.57
2018-08-15,38.99
2018-08-16,39.24
2018-08-17,39.87
2018-08-20,40.1
2018-08-21,39.94
2018-08-22,39.85
2018-08-23,39.98
2018-08-24,40.17
2018-08-27,39.39
2018-08-28,39.31
2018-08-29,39.31
2018-08-30,39.31
2018-08-31,39.33
2018-09-04,39.19
2018-09-05,39.65
2018-09-06,39.58
2018-09-07,39.98
2018-09-10,39.84
2018-09-11,40.08
2018-09-12,40.18
2018-09-13,40.59
2018-09-14,40.7
2018-09-17,40.74
2018-09-18,41.22
2018-09-19,40.98
2018-09-20,41.45
2018-09-21,41.74
2018-09-24,41.62
2018-09-25,41.48
2018-09-26,41.38
2018-09-27,41.59
2018-09-28,41.75
2018-10-01,41.94
2018-10-02,41.89
2018-10-03,42.45
2018-10-04,42.35
2018-10-05,42.54
2018-10-08,42.9
2018-10-09,43.08
2018-10-10,42.17
2018-10-11,40.56
2018-10-12,41.47
2018-10-15,40.85
2018-10-16,41.62
2018-10-17,42.22
2018-10-18,41.68
2018-10-19,42.16
2018-10-22,42.03
2018-10-23,41.78
2018-10-24,40.24
2018-10-25,41.12
2018-10-26,40.36
2018-10-29,40.95
2018-10-30,40.63
2018-10-31,40.79
2018-11-01,41.37
2018-11-02,40.67
2018-11-05,41.23
2018-11-06,40.74
2018-11-07,42.06
2018-11-08,41.54
2018-11-09,41.95
2018-11-12,41.79
2018-11-13,41.23
2018-11-14,40.65
2018-11-15,40.93
2018-11-16,41.22
2018-11-19,41.85
2018-11-20,41.24
2018-11-21,40.83
2018-11-23,40.87
2018-11-26,41.06
2018-11-27,41.75
2018-11-28,42.54
2018-11-29,43.11
2018-11-30,43.8
2018-12-03,43.57
2018-12-04,42.76
2018-12-06,42.61
2018-12-07,41.61
2018-12-10,42.06
2018-12-11,41.69
2018-12-12,41.83
2018-12-13,42.22
2018-12-14,41.49
2018-12-17,40.84
2018-12-18,40.17
2018-12-19,39.76
2018-12-20,39.74
2018-12-21,39.72
2018-12-24,38.41
2018-12-26,39.97
2018-12-27,40.59
2018-12-28,40.7
2018-12-31,41.35
2019-01-02,40.97
2019-01-03,39.83
2019-01-04,40.74
2019-01-07,40.95
2019-01-08,41.14
2019-01-09,41.06
2019-01-10,40.08
2019-01-11,40.62
2019-01-14,40.14
2019-01-15,40.48
2019-01-16,39.89
2019-01-17,40.23
2019-01-18,40.29
2019-01-22,40.04
2019-01-23,39.94
2019-01-24,38.79
2019-01-25,38.5
2019-01-28,37.45
2019-01-29,38.62
2019-01-30,39.39
2019-01-31,40.21
2019-02-01,40.62
2019-02-04,40.2
2019-02-05,39.89
2019-02-06,40.1
2019-02-07,39.5
2019-02-08,40.01
2019-02-11,39.48
2019-02-12,39.66
2019-02-13,39.5
2019-02-14,39.76
2019-02-15,40.17
2019-02-19,40.36
2019-02-20,39.98
2019-02-21,39.92
2019-02-22,40.7
2019-02-25,40.81
2019-02-26,40.75
2019-02-27,40.67
2019-02-28,41.07
2019-03-01,41.08
2019-03-04,40.8
2019-03-05,40.63
2019-03-06,39.66
2019-03-07,39.21
2019-03-08,38.74
2019-03-11,39.31
2019-03-12,39.53
2019-03-13,39.8
2019-03-14,39.02
2019-03-15,39.58
2019-03-18,39.61
2019-03-19,40.07
2019-03-20,39.95
2019-03-21,40.12
2019-03-22,39.65
2019-03-25,39.68
2019-03-26,40.19
2019-03-27,39.81
2019-03-28,40.06
2019-03-29,40.23
2019-04-01,40.58
2019-04-02,40.65
2019-04-03,40.58
2019-04-04,40.49
2019-04-05,40.73
2019-04-08,40.87
2019-04-09,40.58
2019-04-10,40.48
2019-04-11,40.04
2019-04-12,39.51
2019-04-15,39.87
2019-04-16,38.76
2019-04-17,37.78
2019-04-18,37.31
2019-04-22,36.93
2019-04-23,37.34
2019-04-24,37.3
2019-04-25,37.52
2019-04-26,37.86
2019-04-29,37.5
2019-04-30,38.47
2019-05-01,38.62
2019-05-02,38.85
2019-05-03,39.21
2019-05-06,39.46
2019-05-07,38.68
2019-05-08,38.79
2019-05-09,38.5
2019-05-10,38.58
2019-05-13,38.43
2019-05-14,38.52
2019-05-15,38.98
2019-05-16,39.45
2019-05-17,39.29
2019-05-20,39.4
2019-05-21,39.48
2019-05-22,39.78
2019-05-23,39.71
2019-05-24,39.74
2019-05-28,39.69
2019-05-29,39.52
2019-05-30,39.69
2019-05-31,39.33
2019-06-03,39.71
2019-06-04,40.01
2019-06-05,40.24
2019-06-06,40.46
2019-06-07,40.66
2019-06-10,40.8
2019-06-11,40.42
2019-06-12,40.81
2019-06-13,40.26
2019-06-14,40.51
2019-06-17,40.62
2019-06-18,40.8
2019-06-19,41.21
2019-06-20,41.3
2019-06-21,41.37
2019-06-24,41.46
2019-06-25,41.46
2019-06-26,40.73
2019-06-27,41.14
2019-06-28,41.04
2019-07-01,41.46
2019-07-02,41.89
2019-07-03,42.06
2019-07-05,41.61
2019-07-08,41.02
2019-07-09,41.09
2019-07-10,41.74
2019-07-11,40.72
2019-07-12,40.17
2019-07-15,40.5
2019-07-16,40.59
2019-07-17,40.49
2019-07-18,40.79
2019-07-19,40.52
2019-07-22,40.56
2019-07-23,40.82
2019-07-24,40.63
2019-07-25,40.42
2019-07-26,40.82
2019-07-29,39.27
2019-07-30,36.75
2019-07-31,36.79
2019-08-01,36.24
2019-08-02,36
2019-08-05,35.01
2019-08-06,35
2019-08-07,34.65
2019-08-08,34.93
2019-08-09,34.44
2019-08-12,33.53
2019-08-13,33.35
2019-08-14,32.44
2019-08-15,32.66
2019-08-16,32.83
2019-08-19,33.33
2019-08-20,32.79
2019-08-21,33.03
2019-08-22,33.23
2019-08-23,32.53
2019-08-26,33.01
2019-08-27,32.53
2019-08-28,33.23
2019-08-29,33.47
2019-08-30,33.68
2019-09-03,34.22
2019-09-04,33.94
2019-09-05,34.43
2019-09-06,34.58
2019-09-09,34.89
2019-09-10,35.41
2019-09-11,35.44
2019-09-12,35.32
2019-09-13,34.97
2019-09-16,34.89
2019-09-17,34.58
2019-09-18,34.46
2019-09-19,34.59
2019-09-20,34.76
2019-09-23,34.33
2019-09-24,34.11
2019-09-25,34.01
2019-09-26,33.9
2019-09-27,34.31